name,gender
Quentin Tarantino,m
Steve Starkey,m
Mike Fenton,m
Piero Umiliani,m
David V. Lester,m
Peter Jackson,m
Weronika Migon,f
Deb Dyer,f
Merissa Lombardo,f
Sally Menke,f
Neil Canton,m
Alan Lee,m
Nino Baragli,m
Arnon Milchan,m
Steven Moffat,m
Gray Frederickson,m
Adrian Belew,m
John Gilbert,m
Henry Bumstead,m
Nicola Piovani,m
John Alcott,m
John M. Davis,m
David Julyan,m
Anne Dudley,f
Charlie Chaplin,m
Norman Reynolds,m
Aggie Guerard Rodgers,f
Michael Uslan,m
Emma Thomas,f
Frank Darabont,m
Nicholas Pileggi,m
Dan Hennah,m
Charlie Chaplin,m
Ellen Mirojnick,f
Oriol Paulo,m
Ellen Lewis,f
Louis C.K.,m
Stephen King,m
Stephen Rennicks,m
Matsutarô Kawaguchi,m
Jim Uhls,m
Eric Roth,m
Charlie Chaplin,m
Jim Thompson,m
Sidney Lumet,m
Bo Goldman,m
Alfio Contini,m
Kenji Mizoguchi,m
Roberto Benigni,m
Lawrence Bender,m
Paul Hellerman,m
Harvey Weinstein,m
Judy Taylor,f
Kensuke Ushio,m
André Turpin,m
Jack Cardiff,m
Hayao Miyazaki,m
Thierry Arbogast,m
Barrie M. Osborne,m
Harry Kurnitz,m
Milena Canonero,f
Craig McKay,m
Yasuyoshi Tokuma,m
Graham Broadbent,m
Theodore Reed,m
Franz-Josef Spieker,m
Quentin Tarantino,m
Jenny Bicks,f
Dean Wolcott,m
Sergio Leone,m
Tooru Hara,m
Alessandro Cicognini,m
Bernard Herrmann,m
John Ottman,m
Miloš Forman,m
Alexandre Trauner,m
Arnon Milchan,m
Ronald Harwood,m
Neil Jenkins,m
Saul Zaentz,m
Sharone Meir,m
Kazuo Miyagawa,m
Sion Sono,m
Harry Keramidas,m
Ennio Morricone,m
Rudolph Maté,m
Furio Scarpelli,m
Bill Condon,m
Christopher Nolan,m
Diane Johnson,f
Charlie Chaplin,m
David Fincher,m
Fernando Meirelles,m
Arthur Hornblow Jr.,m
John Lasseter,m
Terence Marsh,m
Henry Fonda,m
Carlo Simi,m
Irene Lamb,f
Robert Zemeckis,m
Eraldo Da Roma,m
