name,gender
Tatsuya Nakadai,m
Nestor Carbonell,m
Anthony Michael Hall,m
Steve Murphy,m
Henny Youngman,m
Grace Kelly,f
Marcello Mastroianni,m
Phil Brown,m
Stephen Baldwin,m
Don Creech,m
Edward Furlong,m
Patrick Aherne,m
David Andrews,m
Ian Holm,m
Shah Rukh Khan,m
Ryunosuke Kamiki,m
William Russ,m
Georgine Darcy,f
Ron Dean,m
Robert Sean Leonard,m
Henry Fonda,m
Leo Gullotta,m
Ellis Rubin,m
Talia Shire,f
Ving Rhames,m
Emile Meyer,m
Antonio Molino Rojo,m
Teruko Omi,f
Mark Hamill,m
Gary Oldman,m
Keram Malicki-Sánchez,m
Gabriele Lavia,m
Anne Dorval,f
Alexandre Rodrigues,m
Michael Caine,m
Barry Pepper,m
Ken Drury,m
Leah Cairns,f
Aidan Turner,m
Eddie Baker,m
Raymond Burr,m
Morgana King,f
Yūko Tanaka,f
Al Lettieri,m
Paulette Goddard,f
Peter de Jersey,m
Ken Watanabe,m
Horst Buchholz,m
Takashi Shimura,m
Kamatari Fujiwara,m
Tuesday Weld,f
Alberto Vazquez,m
Kirk Baltz,m
Ludmilla Tchérina,f
Chin Han,m
Chieko Higashiyama,f
Ryan Hayward,m
Peter Davison,m
Diogo Vilela,m
Masao Mishima,m
Keiko Tsushima,f
J.J. Cohen,m
James Stewart,m
Hugo Weaving,m
Cas Anvar,m
Frank Oz,m
Jacob Tremblay,m
Marton Csokas,m
Pruitt Taylor Vince,m
Eijirō Tōno,m
William Devane,m
Jason Robards,m
Jenna Coleman,f
Irene Browne,f
William Hartnell,m
Marianna Hill,f
Fred Clark,m
Margo Moorer,f
Charlie Chaplin,m
Lauren Sánchez,f
Yoshio Inaba,m
David Selvas,m
Marc McClure,m
Ian McDiarmid,m
Vittorio Gassman,m
Daniel Zettel,m
Jacques Stany,m
David Prowse,m
Harrison Ford,m
Harry Dean Stanton,m
Dan Butler,m
Gloria Swanson,f
Pete Postlethwaite,m
Henry Jones,m
Clive Revill,m
Luigi Pistilli,m
Fernanda Montenegro,f
Francesca De Sapio,f
Bae Doona,f
Millie Davis,f
Samara Weaving,f
Peter Capaldi,m
Marilyn Lightstone,f
Izabela Vidovic,f
Peter Dinklage,m
Harvey Keitel,m
Graham Greene,m
Mark Rolston,m
Kyle MacLachlan,m
Akio Ohtsuka,m
Jean Minisini,m
Andy Serkis,m
Frank DiLeo,m
Ellen Greene,f
Tsutomu Tatsumi,m
David Wenham,m
Matheus Nachtergaele,m
Ezra Buzzington,m
David Lee Smith,m
David Steen,m
Danielle Rose Russell,f
Ellen Corby,f
Aoi Miyazaki,f
Monique Gabriela Curnen,f
Ross Bagdasarian,m
Hanna Hall,f
Claudia Cardinale,f
Welker White,f
Antonin Artaud,m
Konstantin Shayne,m
Masahiko Nishimura,m
Karl Urban,m
Frances Lee McCain,f
Jack Webb,m
Ethan Hawke,m
Achala Sachdev,f
Tsunehiko Kamijô,m
John Cassini,m
Ola Sturik,f
Mark Hamill,m
Vladimir Brichta,m
Woody Harrelson,m
Miyu Irino,m
John Hollis,m
Matthew McConaughey,m
Viggo Mortensen,m
Eric Roberts,m
Gina Mastrogiacomo,f
Marisa Traversi,f
Danny Darst,m
Memmo Carotenuto,m
Harriet Sansom Harris,f
Douglas Silva,m
Alba Gaïa Bellugi,f
Kajol,f
Timothy Carey,m
Bernard Hill,m
Christina Cabot,f
Liv Tyler,f
Kavita Patil,f
Joseph Ragno,m
R. Lee Ermey,m
Michal Zebrowski,m
Ana Lúcia Torre,f
Kathryn Newton,f
Ron Vawter,m
Esther Garrel,f
Richard Beymer,m
Meat Loaf,m
Mark Gatiss,m
Janet Montgomery,f
George Lynn,m
Paul Weigel,m
James B. Harris,m
Carla Gravina,f
Joel Allen,m
Wendy Robie,f
Orlando Bloom,m
Chester Conklin,m
Kevin Spacey,m
Scatman Crothers,m
Hiro Yuuki,m
Albert Misak,m
Sonny Shroyer,m
Eddie Baker,m
Abe Vigoda,m
Kinuyo Tanaka,f
Tom Hanks,m
Lucius Wyatt 'Cherokee',m
John Fiedler,m
Bonnie Hunt,f
Michael Ontkean,m
Harry Myers,m
Barry Nelson,m
Luís Melo,m
Sergio Forconi,m
John Noble,m
Eleanor Tomlinson,f
Cate Blanchett,f
Milena Vukotic,f
Colin McFarlane,m
Tatsuo Matsumura,m
Sam Anderson,m
Billy Gilbert,m
Totò,m
Leopoldo Trieste,m
Eiji Okada,m
James Waterston,m
Ian McKellen,m
Megumi Hayashibara,f
Buster Keaton,m
Damon Gupton,m
Thelma Ritter,f
Mario Feliciani,m
Mark Boone Junior,m
Pupella Maggio,f
Jee-Yun Lee,f
Daniel Zacapa,m
Taylor Geare,f
Christopher Walken,m
Ruta Lee,f
Robert Webber,m
Naveen Andrews,m
Peter Cushing,m
Morgan Freeman,m
Huguette Gervais,f
Tom Hardy,m
Fairuza Balk,f
Mandy Patinkin,m
Sam Rockwell,m
Kem Dibbs,m
Oona Chaplin,f
Gustavo Serena,m
Silvia Dionisio,f
Russ Fega,m
Richard Portnow,m
Sterling Hayden,m
Patricia Clarkson,f
Peter Brocco,m
Sean Astin,m
Cho Jin-woong,m
Diane Keaton,f
Peter Mayhew,m
Victoire Du Bois,f
Isabelle Nélisse,f
Neil Giuntoli,m
Mario Casas,m
Mimmo Poli,m
Mandira Bedi,f
Marianne Muellerleile,f
Rudy Bond,m
Kouki Uchiyama,m
Liam Neeson,m
Philippe Leroy,m
Zendaya,f
Ethan Suplee,m
Richard Anderson,m
Ryunosuke Kamiki,m
Austin Trevor,m
Tom Berenger,m
Robert De Niro,m
Ed Stoppard,m
Doug Hutchison,m
Anne Jackson,f
Teruko Nagaoka,f
Zach Grenier,m
Will Sampson,m
Rachel Hayward,f
Ralph Fiennes,m
Tim Robbins,m
Robin Williams,m
Everett McGill,m
Megan Follows,f
Lee Yong-nyeo,f
James Cromwell,m
Vera Miles,f
Tsutomu Yamazaki,m
Danny Aiello,m
Yuji Okumoto,m
Peter Capaldi,m
Hisashi Igawa,m
Debi Mazar,f
Miyu Irino,m
Hugo Weaving,m
Chester Conklin,m
Kim Tae-ri,f
Matt Damon,m
Antonio David Lyons,m
Mackenzie Foy,f
Richard Sammel,m
Moon So-ri,f
Martin Herdman,m
Peter Spears,m
Marco Leonardi,m
Louis Lombardi,m
Frank Vincent,m
Paul Norell,m
James Marshall,m
Dan Li,f
Danny Lloyd,m
Warren Frost,m
Jude Ciccolella,m
Cezary Łukaszewicz,m
Sherilyn Fenn,f
Atsuro Watabe,m
Jack Purvis,m
Richmond Arquette,m
Gale Hansen,m
William Sadler,m
David Oyelowo,m
Erwin Connelly,m
John Sessions,m
Catherine Spaak,f
Rasmus Hardiker,m
Richard Conte,m
Oreste Baldini,m
James Woods,m
Kathryn McGuire,f
Yutaka Sada,m
Jyonmyon Pe,m
Toshiyuki Toyonaga,m
Joe Pantoliano,m
David Tennant,m
Marc Michel,m
Alfred Hitchcock,m
Frank Finlay,m
Karen Gillan,f
Stéphane Lefebvre,m
Richard Farnsworth,m
Hank Mann,m
Uday Chopra,m
Collette Wolfe,f
Lionel Stander,m
Wendie Jo Sperber,f
Giancarlo Esposito,m
Harry Nehring,m
Danny Aiello,m
Callum Keith Rennie,m
Michael Leader,m
Brad Pitt,m
Jodie Foster,f
Ray Liotta,m
Orlando Bloom,m
Seu Jorge,m
Christopher Lee,m
Michael J. Fox,m
Phellipe Haagensen,m
Guy Pearce,m
Holly Earl,f
Jamie Clayton,f
Aoi Yuki,f
Audrey Fleurot,f
Antoine-Olivier Pilon,m
Christine Estabrook,f
Charles Scorsese,m
Jonathan Haagensen,m
Martin Freeman,m
Kana Hanazawa,f
Ray Wise,m
Paolo Stoppa,m
Haru Kuroki,f
Ali Liebert,f
Brooke Smith,f
Al Pacino,m
Robert Helpmann,m
Chris Mulkey,m
Burt Young,m
Marlene Dietrich,f
Janet Leigh,f
Tim Roth,m
Tim DeZarn,m
Dean R. Brooks,m
George Macready,m
Jacob Tremblay,m
Sala Baker,m
Christiane Kubrick,f
Brandon Beach,m
Aoi Yuki,f
Elliott Gould,m
Aaron Eckhart,m
Amanda Warren,f
Robert Duvall,m
Joshua Harto,m
Tony Burton,m
Matt Gordon,m
Emilie Caen,f
David Proval,m
Kim Novak,f
Kerry Condon,f
Miranda Otto,f
Megumi Han,f
Orlando Bloom,m
Jared Leto,m
Matt De Matt,m
Joséphine de Meaux,f
Keenan Wynn,m
Philippe Noiret,m
Grace Hayle,f
Takuya Kimura,m
Carlo Pisacane,m
Adolfo Celi,m
Frank Senger,m
Amanda Abbington,f
Teddy Reno,m
Johnathan Geare,m
Eric Challier,m
Albert Austin,m
Nicoletta Braschi,f
Carrie-Anne Moss,f
Marjorie Eaton,f
John Hawkes,m
Elijah Wood,m
Hannes Hellmann,m
Beverly D'Angelo,f
Frank Gio,m
Yo Oizumi,m
Joe Cortese,m
Philippe Noiret,m
Paulette Goddard,f
Billy Boyd,m
Rupert Graves,m
Marisa Paredes,f
Haruko Sugimura,f
Rebecca Ferguson,f
Rudy Bond,m
E.G. Marshall,m
Sylvester McCoy,m
Max Kasch,m
Michael Caine,m
Toshirō Mifune,m
Margo Winkler,f
Nino Marchetti,m
Matt Smith,m
Mykelti Williamson,m
Jesslyn Fax,f
Anne Le Ny,f
Suzy Amis,f
Nicola Di Pinto,m
Lima Duarte,m
Suzanne Shepherd,f
Henry Bergman,m
David Ogden Stiers,m
Kenny Baker,m
Michael V. Gazzo,m
Robert Duvall,m
Kathryn Grant,f
Jack Nicholson,m
Bryce Gheisar,m
Viggo Mortensen,m
Toshirō Mifune,m
Olga Karlatos,f
Makiko Watanabe,f
Maïwenn,f
Omar Sy,m
Charmion King,f
Gwyneth Paltrow,f
Rogério Cardoso,m
Helen McCrory,f
Paul Lazar,m
Franklyn Farnum,m
Mélanie Thierry,f
Miles Teller,m
Alfred Hitchcock,m
Virginia Cavendish,f
Masaki Terasoma,m
Gary Sinise,m
Hugh Jackman,m
Nobuo Nakamura,m
Isao Kimura,m
Morgan Hunter,m
Harvey Keitel,m
Brian J. Smith,m
Brigitte Fossey,f
Earl Cameron,m
Kimberly Campbell,f
Nathan George,m
Rudolph Anders,m
Henry Daniell,m
Joe Pingue,m
Larry Holden,m
Don Henderson,m
Nicole Oliver,f
Mark Ivanir,m
Cate Blanchett,f
Maggie Gyllenhaal,f
Allelon Ruggiero,m
Douglas Booth,m
Megumi Hayashibara,f
Craig Parker,m
Himani Shivpuri,f
Charles Napier,m
Jernard Burks,m
Vincent Schiavelli,m
Temuera Morrison,m
Sakura Ando,f
Yumeji Tsukioka,f
Steven Wright,m
Billy Zane,m
Tuppence Middleton,f
Eion Bailey,m
Natalie Hamel-Roy,f
Thomas Lawinky,m
Tom Hanks,m
John Bartha,m
Anthony Hopkins,m
Justin Mader,m
Lee Van Cleef,m
Daveed Diggs,m
Maureen Lipman,f
Wendy Crewson,f
Richard Alexander,m
Billy Boyd,m
Thomas Kretschmann,m
Charlie Chaplin,m
Jacques Perrin,m
Bill Irwin,m
Peter Greene,m
Jack Nicholson,m
Adolf Wohlbrück,m
Jean Harlow,f
Timothée Chalamet,m
Alonzo Brown,m
Viviane Pascal,f
Dileep Rao,m
Liv Tyler,f
Emilia Fox,f
Shirô Ôsaka,m
John McIntire,m
Miranda Otto,f
Ritchie Coster,m
Morgan Freeman,m
Billy Boyd,m
Saoirse Ronan,f
Martin Wuttke,m
Robert Gulaczyk,m
Livio Lorenzon,m
Norma Varden,f
John Gavin,m
Ryunosuke Kamiki,m
