name,gender
Carroll Timothy O'Meara,m
Myke Michaels,m
Adrian Biddle,m
Danielle Berman,f
Chuck Potter,m
Kristina Boden,f
Amy Krell,f
Leonardo Pieraccioni,m
Stephen Susco,m
Peter Sorel,m
Kelly Wagner,f
Andrew Macdonald,m
Scott Alexander,m
Paul Helmick,m
Brian Tyler,m
Albert Akst,m
David Gambino,m
Fred Frith,m
Dudley Nichols,m
Michael Uslan,m
Ray Moyer,m
Julie Oppenheimer,f
Fred Murphy,m
Michael Fassbender,m
Danny Dimbort,m
John Wright,m
Karen Rosenfelt,f
Richard Matheson,m
Anthony Tremblay,m
Jez Butterworth,m
Arthur Edeson,m
Sheila Jaffe,f
Guillermo del Toro,m
Jane Seitz,f
Andrew Ackland-Snow,m
Jan Komasa,m
Walter F. Parkes,m
Francine Maisler,f
William Tuttle,m
Avy Kaufman,f
Simon Murton,m
Sylvie Landra,f
Simon Baker,m
Theoni V. Aldredge,f
Dean Cundey,m
Christophe Beck,m
Brian Yuzna,m
Nicholas Lundy,m
Jim Greenhorn,m
Teddy Castellucci,m
Renee Ehrlich Kalfus,f
Rhonda Tollefson,f
Hayao Miyazaki,m
Mike Flanagan,m
George S. Clinton,m
John Collee,m
Daniel Langlois,m
Sarah Campbell,f
William Goldman,m
Paul Rubell,m
Thomas Harris,m
Victor J. Kemper,m
John H. Williams,m
William Kong,m
Kirk D'Amico,m
Trevor Moore,m
Brent White,m
David Leitch,m
Jon Gary Steele,m
George Lucas,m
Peter Landsdown Smith,m
Ashley Cusato,f
Alan Zweibel,m
Thomas Newman,m
Gabe Sachs,m
Win Butler,m
Volker Schlöndorff,m
Gail Stevens,m
Robert Mark Kamen,m
Scott Bushnell,m
John de Borman,m
Thomas Newman,m
Carl Bernstein,m
Max Borenstein,m
David Odell,m
Dominique Lavanant,f
Seiji Okuda,m
David Wain,m
Luis Valdez,m
Bruce Alan Miller,m
Tricia Wood,f
Hideo Oguni,m
Michael Nozik,m
Paul Peters,m
Julie Ansell,f
Alejandro Amenábar,m
Jean Herman,m
Oriol Paulo,m
Kim Ui-seok,m
Candice Elzinga,f
Mark Bridges,m
Carol Winstead Wood,f
Thom Noble,m
Don Roos,m
Jordan Peele,m
Damian Jones,m
Nino Rota,m
Raja Gosnell,m
Laurie MacDonald,f
Wendy Greene Bricmont,f
Albert Brenner,m
Frank E. Warner,m
Harold Faltermeyer,m
Christopher Nolan,m
Gary Levinsohn,m
Roland Rosenkranz,m
Paul Tothill,m
Robert Young,m
Russell Boyd,m
Marcia Ross,f
Andrew Niccol,m
Craig Wedren,m
Stephen Woolley,m
Freddie Williamson,m
Joel Silver,m
Jack Rapke,m
William Davies,m
Shim Hyung-Rae,m
Edith Head,f
Anastas N. Michos,m
Ann Roth,f
Ralph Carmichael,m
Tom Foden,m
Nosher Powell,m
Fax Bahr,m
Brian Grazer,m
Lennie Hayton,m
Steven Spielberg,m
Carles Gusi,m
Nigel Sinclair,m
Irvin Kershner,m
Brian Helgeland,m
Clint Eastwood,m
John Powell,m
Charles H. Joffe,m
John C. Reilly,m
Lee Rich,m
Alan Baumgarten,m
Roger Neill,m
Avi Arad,m
Angela Demo,f
Laray Mayfield,f
Robert C. Jones,m
Andy Thomson,m
Debra Chiate,f
Dennis Heaton,m
George Folsey Jr.,m
James Newton Howard,m
Juri Seppä,m
Johnny Marks,m
Robert Ruggeri,m
Gilles Boillot,m
Gary Ross,m
James Vanderbilt,m
Pamela Martin,f
Mona Achache,f
Joe Alves,m
Erdman Penner,m
Hilary Swank,f
Mark Stevens,m
Michael Frost Beckner,m
Michael Barrie,m
Julie Taymor,f
Lucinda Syson,f
Steven-Charles Jaffe,m
Fabrice Joubert,m
Gil Kenan,m
John Collee,m
Aaron Seltzer,m
Alan Silvestri,m
Bob Weinstein,m
Cecilia Montiel,f
Alan Silvestri,m
John W. Hyde,m
Laray Mayfield,f
Kim Ki-duk,m
Tom Tykwer,m
Ronna Kress,f
Emile Kuri,m
Christopher Challis,m
Terry Hayes,m
Dick King-Smith,m
Tom Holland,m
James Simpson,m
Leslie Dixon,f
Bernard Rose,m
John Kamps,m
Bill Kenney,m
Gary Chang,m
Douglas Adams,m
Rob Morgan,m
Alan Heim,m
Kenji Kawai,m
Hawk Koch,m
Tricia Wood,f
Renee Ehrlich Kalfus,f
Matthew O'Callaghan,m
James Newton Howard,m
Ben Younger,m
Lucio Fulci,m
Robert N. Fried,m
Penney Finkelman Cox,f
Bernardino Zapponi,m
Arthur Lappin,m
Rose Ganguzza,f
Holly Brix,f
Herb Gains,m
Sam Register,m
Jeff Danna,m
Christine De Jekel,f
Kathleen M. McKernin,f
Matthew Perniciaro,m
Ida Random,f
Joshua Astrachan,m
Ang Lee,m
Bernardo Bertolucci,m
Barbara Cassel,f
Joan Sobel,f
Rob Cohen,m
David Rubin,m
Alan Glazer,m
Zack Snyder,m
Jessica Chastain,f
Harry Julian Fink,m
Georges Delerue,m
Tokushô Kikumura,m
Affonso Beato,m
Debbie McWilliams,f
Henry Mancini,m
Sergio Montanari,m
Neal H. Moritz,m
Douglas Slocombe,m
Simone Bär,f
Noah Baumbach,m
Michael Brandt,m
Fran Walsh,f
John Bailey,m
Owen Roizman,m
James Wan,m
Phyllis Huffman,f
Elena Arroy,f
John Lasseter,m
Sarah M. Pott,f
Sigurjón Sighvatsson,m
Heidi Levitt,f
Matthew Peterman,m
Tom Brown,m
Derek Frey,m
Gaspar Noé,m
Tony Kushner,m
Peter Jackson,m
Stephanie McMillan,f
Matthew O'Callaghan,m
Tom Savini,m
Mélanie Laurent,f
Robert Greenhut,m
Edward Zwick,m
Randy Cheveldave,m
John N. Smith,m
Stan Lee,m
Wolf Kroeger,m
Tony Gilroy,m
Randi Hiller,f
Matthew Lessall,m
Dana Fox,f
William M. Elvin,m
Gabriel Beristain,m
Ronald D. Moore,m
Paul Weitz,m
William Friedkin,m
E.K. Gaylord II,m
Drew Goddard,m
Pierre Boulle,m
John Frizzell,m
Paul Thomas Anderson,m
Frank E. Jimenez,m
Patrick Wachsberger,m
Matt Garner,m
Amanda Lewis,f
Adrian Curelea,m
Tom Rolf,m
Johnny Martin,m
Chris Wedge,m
Trevor Rabin,m
Randi Hiller,f
Jesse Beaton,f
Jonathan Glickman,m
Jeffrey M. Weiner,m
Albert Hughes,m
A. R. Rahman,m
Ilona Smyth,f
Joseph Calamari,m
Javier Ruiz Caldera,m
Hans Zimmer,m
Karen Lunder,f
William R. Borden,m
Peter Safran,m
Kenny Ortega,m
Miles Goodman,m
Chris Elliott,m
Deborah Aquila,f
Horace Wong,m
Noah Segal,m
Antón Laguna,m
Amina Dasmal,f
Steve Jablonsky,m
Ron Halpern,m
Gale Anne Hurd,f
Karan Johar,m
Howard Shore,m
Frank Walsh,m
Andrew Wight,m
Bruce Berman,m
Jeanette Scott,f
Jack Kirby,m
Anne Kopelson,f
Javier Ugarte,m
John Sanford,m
Dean DeBlois,m
Stan Lee,m
Bob Hagans,m
Katia Stano,f
Sam O'Steen,m
Ivan Ranghelov,m
Peter Bogdanovich,m
Robin Sweet,m
Umberto Eco,m
Peter Nicolakakos,m
Jim Jarmusch,m
Ray Stark,m
Guillermo del Toro,m
David C. Robinson,m
Sebastian Schroder,m
Marilyn Vance,f
Erica Clum,f
Maurice Gibb,m
David Nicksay,m
John Williams,m
J. Mills Goodloe,m
Ari Wegner,f
Miles Millar,m
Krzysztof Kieślowski,m
Lee Mo-gae,m
Van Toffler,m
Pierre Gill,m
Susan Downey,f
John Landis,m
John Penotti,m
Amy Poehler,f
Tatiana Casini Morigi,f
Thomas E. Ackerman,m
Larry Dias,m
Chris L. Spellman,m
Ti West,m
Stephen A. Rotter,m
J. F. Lawton,m
John Thompson,m
Klaus Badelt,m
Douglas Day Stewart,m
Eric Kress,m
William H. Macy,m
Richard Rionda Del Castro,m
George Clayton Johnson,m
David J. Bomba,m
John Francis Daley,m
David Cronenberg,m
Allen Covert,m
Anthony Dod Mantle,m
Robert Gantz,m
Nicholas Lundy,m
Matthew Hannam,m
John Buchan,m
Christina Moore,f
Carolyn McLeod,f
Bill Johnson,m
Robert Simonds,m
Beth A. Rubino,f
Nicholas Sparks,m
Irene Lamb,f
Dale Beldin,m
Alan Heim,m
Karen Walton,f
Betty Thomas,f
Mark Levin,m
Janet Hirshenson,f
Rick King,m
Elmer Bernstein,m
Andreas Thiesmeyer,m
Ben Safdie,m
Peter Strickland,m
Stephanie Carroll,f
Ekin Cheng,m
Paul Machliss,m
James Cameron,m
Jane Anderson,f
Peter Farrelly,m
Jean-Yves Escoffier,m
Arthur Alsberg,m
Philippe Martinez,m
